epoch trainingSuccess testSuccess 
1 14.43697143237664 14.067830624122015 
2 28.321235932609707 27.874774232390127 
3 40.147832456549246 39.51434878587197 
4 44.229872810814406 43.4878587196468 
5 48.957847772524474 48.203893237005815 
6 53.53932210161817 52.23760786674694 
7 56.79563161750016 55.568934376881394 
8 58.99980022641007 57.79650812763396 
9 60.73117133914896 59.80333132651013 
10 62.415928614237195 60.987357013847074 
11 63.57461543583938 61.910495685330126 
12 64.48691482985949 62.77342966084688 
13 65.27935006992077 63.495886012442305 
14 65.86535260038623 63.75677302829621 
15 66.24492242125591 64.21834236403772 
16 66.6178331224612 64.96086694762191 
17 67.00406206299527 65.52277744330725 
18 67.41692748218685 65.82380092313868 
19 67.7432243457415 65.98434677904876 
20 68.09615768795365 66.385711418824 
21 68.26263567956316 66.58639373871162 
22 68.522341346474 67.0680313064419 
23 68.69547845774788 67.34898655428456 
24 68.88193380835054 67.34898655428456 
25 69.08836651794633 67.30885009030705 
26 69.28814010787774 67.40919125025086 
27 69.38136778317906 67.4894641782059 
28 69.4346407404941 67.54966887417218 
29 69.5012319371379 67.69014649809351 
30 69.5078910568023 67.8105558900261 
31 69.58780049277486 67.95103351394742 
32 69.66770992874743 67.93096528195865 
33 69.79423320237065 67.93096528195865 
34 69.92075647599387 67.97110174593618 
35 69.90077911700074 68.03130644190247 
36 69.95405207431577 68.33232992173389 
37 70.07391622827463 68.81396748946418 
38 70.17380302324034 68.83403572145293 
39 70.32030365585669 68.77383102548666 
40 70.33362189518546 68.71362632952037 
41 70.3868948525005 68.73369456150913 
42 70.3868948525005 68.7537627934979 
43 70.41353133115803 68.7537627934979 
44 70.51341812612372 68.71362632952037 
45 70.50675900645935 68.79389925747542 
46 70.55337284411 68.85410395344171 
47 70.64660051941132 68.83403572145293 
48 70.62662316041819 68.85410395344171 
49 70.61330492108944 68.89424041741923 
50 70.65325963907571 68.9544451133855 
51 70.66657787840448 69.1149909692956 
52 70.70653259639076 69.1751956652619 
53 70.76646467337018 69.25546859321695 
54 70.81973763068522 69.19526389725064 
55 70.81307851102085 69.31567328918322 
56 70.81307851102085 69.29560505719446 
57 70.83305587001398 69.335741521172 
58 70.85303322900712 69.43608268111579 
59 70.83971498967836 69.3758779851495 
60 70.87966970766465 69.41601444912703 
61 70.90630618632217 69.45615091310455 
62 70.95957914363721 69.51635560907084 
63 71.00619298128788 69.5364238410596 
64 71.03948857960978 69.57656030503713 
65 71.06612505826729 69.47621914509332 
66 71.08610241726043 69.5364238410596 
67 71.11273889591796 69.57656030503713 
68 71.11273889591796 69.59662853702588 
69 71.12605713524673 69.57656030503713 
70 71.11273889591796 69.51635560907084 
71 71.09276153692483 69.51635560907084 
72 71.05946593860291 69.55649207304836 
73 71.08610241726043 69.51635560907084 
74 71.09276153692483 69.55649207304836 
75 71.1327162549111 69.59662853702588 
76 71.15269361390423 69.59662853702588 
77 71.15935273356862 69.59662853702588 
78 71.17933009256177 69.57656030503713 
79 71.21928481054805 69.49628737708208 
80 71.22594393021242 69.49628737708208 
81 71.24592128920557 69.51635560907084 
82 71.25258040886995 69.59662853702588 
83 71.25923952853432 69.61669676901465 
84 71.24592128920557 69.67690146498093 
85 71.27255776786309 69.6969696969697 
86 71.25923952853432 69.6969696969697 
